Invoice Number,Entity Type,Purchase Item,Unit Price,Quantity,Customer Id
1161638,Plan,STV-MTHLY,0,1,cus_9664886
1161638,Addon,CHN-VAL-1YR,10,1,cus_9664886
1161623,Plan,STV-MTHLY,0,1,cus_9664871
1161623,Addon,CHN-VAL-1YR,10,1,cus_9664871
1161622,Plan,STV-MTHLY,0,1,cus_9664867
1161622,Addon,CHN-VAL-1YR,10,1,cus_9664867
1161619,Plan,STV-MTHLY,0,1,cus_9664863
1161619,Addon,CHN-VAL-1YR,10,1,cus_9664863
1161617,Plan,STV-MTHLY,0,1,cus_9664861
1161617,Addon,CHN-VAL-1YR,10,1,cus_9664861
1161614,Plan,STV-MTHLY,0,1,cus_9664857
1161614,Addon,CHN-VAL-1YR,10,1,cus_9664857
1161612,Plan,STV-MTHLY,0,1,cus_9664856
1161612,Addon,CHN-VAL-1YR,10,1,cus_9664856
1161607,Plan,STV-MTHLY,0,1,cus_9664851
1161607,Addon,Tax,0,1,cus_9664851
1161607,Addon,FREE-KITSH,4.99,1,cus_9664851
1161606,Plan,STV-MTHLY,0,1,cus_9664850
1161606,Addon,Tax,0,1,cus_9664850
1161606,Addon,FREE-KITSH,4.99,1,cus_9664850
1161605,Plan,STV-MTHLY,0,1,cus_9664849
1161605,Addon,CHN-VAL-1YR,10,1,cus_9664849
1161604,Plan,STV-MTHLY,0,1,cus_9664848
1161604,Addon,Tax,0,1,cus_9664848
1161604,Addon,FREE-KITSH,4.99,1,cus_9664848
1161603,Plan,STV-MTHLY,0,1,cus_9664847
1161603,Addon,Tax,0,1,cus_9664847
1161603,Addon,FREE-KITSH,4.99,1,cus_9664847
1161594,Plan,STV-MTHLY,0,1,cus_9664837
1161594,Addon,CHN-VAL-1YR,10,1,cus_9664837
1161592,Plan,STV-MTHLY,0,1,cus_9664835
1161592,Addon,CHN-VAL-1YR,10,1,cus_9664835
1161584,Plan,STV-MTHLY,0,1,cus_9664830
1161584,Addon,CHN-VAL-1YR,10,1,cus_9664830
1161562,Plan,STV-MTHLY,0,1,cus_9664809
1161562,Addon,Tax,0,1,cus_9664809
1161562,Addon,FREE-KITSH,4.99,1,cus_9664809
1161559,Plan,STV-MTHLY,0,1,cus_9664799
1161559,Addon,Tax,0,1,cus_9664799
1161559,Addon,FREE-KITSH,4.99,1,cus_9664799
1161555,Plan,STV-MTHLY,0,1,cus_9664799
1161555,Addon,CHN-VAL-1YR,10,1,cus_9664799
1161554,Plan,STV-MTHLY,0,1,cus_9664791
1161554,Addon,CHN-VAL-1YR,10,1,cus_9664791
1161551,Plan,STV-MTHLY,0,1,cus_9664788
1161551,Addon,Tax,0,1,cus_9664788
1161551,Addon,FREE-KITSH,4.99,1,cus_9664788
